Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,pattern_counts,label
18,18,18,18,Tue Feb 13 23:34:44 +0000 2024,1757548894266036416,omong politik benar jokowi presiden tahun kerja its not that bad syukur milu lalu kalo bukan pak jokowi menang siapa kalau bukan pak bowo jadi presiden kemarin jadi bilang sesal enggak memang aku enggak,0,1,0,0,in,1296359922527907842,1757548894266036416,thavaguetha,https://twitter.com/thavaguetha/status/1757548894266036416,{},netral
19,19,19,19,Tue Feb 13 23:33:40 +0000 2024,1757548626405216386,tonton film dirty votenyata dua jadi boneka presiden joekuwee milu curang culas,0,0,0,1,in,834388208376963072,1757410122442453275,maju_ahmad,https://twitter.com/maju_ahmad/status/1757548626405216386,{},marah
20,20,20,20,Tue Feb 13 23:33:07 +0000 2024,1757548486332191231,kira-kira juta rakyat bakal undi pilih raya ada serentak pilih umum hari tinjau simulasi menteri tahan prabowo subianto lihat calon pilih menang pilih raya,0,0,0,0,in,3314811637,1757548486332191231,AstroRadioNews,https://twitter.com/AstroRadioNews/status/1757548486332191231,{},netral
21,21,21,21,Tue Feb 13 23:30:06 +0000 2024,1757547726433354064,jam milu pilih presiden tanggung jawab diri sendiri telusur rekam jejak pilih visi misi pertanggungjawaban tunggu akhirat langsung lama tahun ayo bijak pilih,0,1,0,0,in,709572391,1757547726433354064,devaniyuella,https://twitter.com/devaniyuella/status/1757547726433354064,{},netral
22,22,22,22,Tue Feb 13 23:27:50 +0000 2024,1757547157241180527,jelang milu gelar besok pasang anies-gus imin amin optimis menang pilih presiden amp wakil presiden lebih kampanye akhir jis juta orang ikut hadir temu akbar paslon amin,0,0,0,1,in,260701137,1757547157241180527,awanusysyuru,https://twitter.com/awanusysyuru/status/1757547157241180527,{},senang
23,23,23,23,Tue Feb 13 23:26:24 +0000 2024,1757546794916229444,baik tni mintas bossnya jangan ngomentari kait milu politik saatsaat kalau aja umum sih masalah presiden panglima tni kasad ganti indonesia tni jangan pernah sakit rakyat,0,0,0,0,in,60813388,1757258563880407224,arivpermana,https://twitter.com/arivpermana/status/1757546794916229444,{},marah
24,24,24,24,Tue Feb 13 23:24:40 +0000 2024,1757546359497125923,amin win election jelang milu gelar besok rabu februari pasang anies-gus imin optimis menang pilih presiden wakil presiden lebih kampanye akhir jakarta internasional stadium,0,0,0,0,in,937609305829736448,1757546359497125923,ShandyIndrauta1,https://twitter.com/ShandyIndrauta1/status/1757546359497125923,{},senang
25,25,25,25,Tue Feb 13 23:23:58 +0000 2024,1757546182681993722,ba-an ku bangun tidur langsung dumba mual sadar siapa presiden tahun depan disangka-sangka paslon nyata jelas tolak akal sehat menang milu,0,1,0,0,in,492088269,1757546182681993722,andi_syahriadi,https://twitter.com/andi_syahriadi/status/1757546182681993722,{},marah
26,26,26,26,Tue Feb 13 23:23:11 +0000 2024,1757545986208182282,petuah presiden pilih milu,0,0,0,0,in,23786106,1757545986208182282,kompasiana,https://twitter.com/kompasiana/status/1757545986208182282,{},netral
27,27,27,27,Tue Feb 13 23:21:40 +0000 2024,1757545606401110045,hari waktu coblos presiden gue abu wkwkwkwk cap cip cup kali penting,0,0,0,0,in,341000800,1757545606401110045,uchenuteh,https://twitter.com/uchenuteh/status/1757545606401110045,{},netral
28,28,28,28,Tue Feb 13 23:21:36 +0000 2024,1757545586302370300,jelang milu presiden wakil presiden lebih kampanye akhir jakarta internasional stadium jis juta orang ikut hadir temu akbar paslon amin bahkan juta tiket masuk jis habis,0,0,0,0,in,1735807069658521600,1757545586302370300,Ismalianto951,https://twitter.com/Ismalianto951/status/1757545586302370300,{},senang
29,29,29,29,Tue Feb 13 23:19:46 +0000 2024,1757545127877509155,tuju gue tarik sama milu lah wajah lega tangan membentuk hati warna kulit cerah-sedang yakali gue peduli sama presiden indonesia wajah konyol,0,0,0,0,in,964462406,1757545127877509155,jerukbusukkkk,https://twitter.com/jerukbusukkkk/status/1757545127877509155,{},netral
30,30,30,30,Tue Feb 13 23:16:46 +0000 2024,1757544370340016402,aku iya lahir bawah bulan april jadi waktu ikut nyoblos pernah nyoblos buat bupati sih waktu milu presiden tahun first time,0,0,0,0,in,727951380,1757441585372106910,ailvrophiile,https://twitter.com/ailvrophiile/status/1757544370340016402,{},netral
31,31,31,31,Tue Feb 13 23:16:19 +0000 2024,1757544256980529562,hari depan kayak off sosmed deh wkwkwk siapa jadi presiden milu hari i hope for the best presiden semua tuh maju enggak mungkin lah mau bawa indonesia bad way kan,0,0,0,0,in,1174729339,1757544256980529562,ownmymark_,https://twitter.com/ownmymark_/status/1757544256980529562,{},netral
33,33,33,33,Tue Feb 13 23:14:52 +0000 2024,1757543894475301367,amin win election jelang milu gelar besok rabu februari pasang amin optimis menang pilih presiden wakil presiden lebih kampanye akhir jakarta internasional stadium,0,0,0,0,in,1729272890502336512,1757543894475301367,achmadhasa42806,https://twitter.com/achmadhasa42806/status/1757543894475301367,{},senang
34,34,34,34,Tue Feb 13 23:14:02 +0000 2024,1757543682260307980,amin win election jelang milu gelar besok rabu februari pasang anies-gus imin amin optimis menang pilih presiden wakil presiden,0,0,0,0,in,1598105176304324608,1757543682260307980,selamatsukses81,https://twitter.com/selamatsukses81/status/1757543682260307980,{},senang
35,35,35,35,Tue Feb 13 23:13:06 +0000 2024,1757543449115725848,doa minta pimpin amanah,0,0,0,0,in,479133959,1757543449115725848,s3sajberkah,https://twitter.com/s3sajberkah/status/1757543449115725848,{},senang
36,36,36,36,Tue Feb 13 23:11:28 +0000 2024,1757543037104968124,siapa jadi presiden didoain moga baik indonesia melipat tangan warna kulit cerah salam damai milu,0,0,0,0,in,397713786,1757543037104968124,ayyu39,https://twitter.com/ayyu39/status/1757543037104968124,{},netral
37,37,37,37,Tue Feb 13 23:06:55 +0000 2024,1757541892341080172,dulu selalu begini milu presiden belum enggak coblos alas surat habis etapi belakang dibolehin nyata domisilo pengaruh putus tugas tps,0,1,0,1,in,2848261020,1757366036704428209,esteh_tarique,https://twitter.com/esteh_tarique/status/1757541892341080172,{},netral
38,38,38,38,Tue Feb 13 23:03:34 +0000 2024,1757541051869372474,jokowi benar baik nama tak cawe milu kali selesai tugas biar rakyat pilih sendiri te- sayang sekali main terlalu jauh milu coreng capai laku lama jadi presiden,2,6,41,274,in,1589407500779941888,1757418196133613756,gitsunine,https://twitter.com/gitsunine/status/1757541051869372474,{},marah
39,39,39,39,Tue Feb 13 23:02:23 +0000 2024,1757540751293165794,not mention the possibility of uu ubah misal presiden jabat berapa kali asal milu padahal milu rigged can you imagine someone take me away from this country its facing its doom wajah dengan mulut terbuka lari,0,0,0,2,in,1645446037992267776,1757406850239066600,_arandommoon,https://twitter.com/_arandommoon/status/1757540751293165794,{},marah
40,40,40,40,Tue Feb 13 22:59:09 +0000 2024,1757539938726215747,udahlah cukup tau dunia politik memang kayak gitu kotor kuasa bergepok-gepok uang enggak usah milu sih tadi kalau memang tetap presiden siapa ye kannnn,0,0,0,0,in,894737467,1757436581215154385,inayitesake,https://twitter.com/inayitesake/status/1757539938726215747,{},marah
41,41,41,41,Tue Feb 13 22:57:32 +0000 2024,1757539530641748099,duga sejak presiden bilang cawe seluruh laksana milu mahkamah keluarga kroni paman usman bawaslu pj kepala daerah plot ordal istana ayo lawan kalah dinasti keluarga denga pilih,0,0,0,0,in,1722769361776361472,1757539530641748099,Arif73384,https://twitter.com/Arif73384/status/1757539530641748099,{},marah
42,42,42,42,Tue Feb 13 22:56:15 +0000 2024,1757539207764136156,muak banget lihat orang-orang saling jelek mojokin milu giring opini buat jelek presiden belum paslon tentu padahal mau pilih siapa hak masing-masing sekarang mau pilih a pilih b asa kayak orang paling hina dosa,0,5,2,9,in,1588177137659686912,1757539207764136156,Peachy_hund,https://twitter.com/Peachy_hund/status/1757539207764136156,{},marah
43,43,43,43,Tue Feb 13 22:54:46 +0000 2024,1757538833745494219,hari akhir milu feb tepat imlek gua rasa ganggu orang raya acara agama milu serentak pilpres pileg bikin masyarakat cenderung pilih presiden partai koalisi bakal sulit punya oposisi kuat,0,1,0,0,in,265421334,1757538833745494219,IGin11,https://twitter.com/IGin11/status/1757538833745494219,{},marah
44,44,44,44,Tue Feb 13 22:53:59 +0000 2024,1757538637649227903,my sis pagi banget bukan gue mau jadi presiden gue degdegan wajah menangis keras milu tahun memang beda asa hidup mati,0,0,0,0,in,1276149221184413699,1757538637649227903,candybinm,https://twitter.com/candybinm/status/1757538637649227903,{},takut
45,45,45,45,Tue Feb 13 22:53:20 +0000 2024,1757538476185342003,betul cuaca memang sengaja saksi presiden bikin batal last mute milu surat mandat smlm beri saksi nya saksi caleg malam tiap rw mnrt gue masa iya satu tempat antar surat mandat lama,0,2,0,0,in,1123949345278185473,1757538476185342003,Badbitchh_lol,https://twitter.com/Badbitchh_lol/status/1757538476185342003,{},takut
46,46,46,46,Tue Feb 13 22:53:16 +0000 2024,1757538457730294027,uin hari milu gess pertama kali nya sender cuman nyoblos presiden pindah tps kalian mau nyoblos bagi mana sender mau bagi mata wajah gembira dengan mata bahagia,0,0,0,0,in,1213494040320045056,1757538457730294027,uinmalikifess,https://twitter.com/uinmalikifess/status/1757538457730294027,{},takut
47,47,47,47,Tue Feb 13 22:52:04 +0000 2024,1757538156079952235,pas banget milu indonesia enggak lama milu negara tempat gue tinggal mana posisi sama sama krisis ganti ibu kota presiden naik skenario atas maksud bangku atas eheheh kalo iya pilih dah skenario sama aja,0,0,0,0,in,1461961573665099776,1757538156079952235,urizunshine,https://twitter.com/urizunshine/status/1757538156079952235,{},senang
48,48,48,48,Tue Feb 13 22:51:29 +0000 2024,1757538008155451398,pls entar siapa jadi presiden terima hasil milu jangan ribut capek banget lihat kemarin,0,1,0,2,in,957433520711872513,1757538008155451398,bebyocii,https://twitter.com/bebyocii/status/1757538008155451398,{},marah
49,49,49,49,Tue Feb 13 22:49:41 +0000 2024,1757537558089863220,hari kasih sayang kasih suara valentine day jangan lupa nyoblos milu pilih presiden february jangan golput teman-teman,0,0,0,1,in,1218870820451176449,1757537558089863220,langkahtertatih,https://twitter.com/langkahtertatih/status/1757537558089863220,{},netral
50,50,50,50,Tue Feb 13 22:45:59 +0000 2024,1757536626295865747,moga milu jangan orangorang idiot iq lt jadi pimpin mulai presiden bupatiwalkota,0,0,0,0,in,1530548168974561286,1757427737399312738,CacingWormy,https://twitter.com/CacingWormy/status/1757536626295865747,{},senang
51,51,51,51,Tue Feb 13 22:45:32 +0000 2024,1757536509933355445,milu ujan saksi presiden batal kocak,0,0,0,0,in,1123949345278185473,1757536509933355445,Badbitchh_lol,https://twitter.com/Badbitchh_lol/status/1757536509933355445,{},takut
52,52,52,52,Tue Feb 13 22:45:07 +0000 2024,1757536407109992807,terima kasih pak tunggu solo suwun dirty vote awal mau golput putus guna hak pilih first time coblos milu moga kupertanggungjawabkan kelak seikat padi hati biru selamat datang presiden baru jangan intimidasi jurnalis jempol ke atas,0,2,1,29,in,2624075754,1757536407109992807,DDivianta24,https://twitter.com/DDivianta24/status/1757536407109992807,{},marah
53,53,53,53,Tue Feb 13 22:44:56 +0000 2024,1757536362390310951,mau siapa pilih brouw jangan golput sayang dana milu mahal wajah tersenyum lebar dan berkeringat wajah tersenyum lebar dan berkeringat walaupun siapa jadi presiden korupsi kan tetap lipat ganda wajah tersenyum lebar dan berkeringat wajah tersenyum lebar dan berkeringat wajah tersenyum lebar dan berkeringat,0,2,0,1,in,1451324619084865536,1757536362390310951,yourfckingmouth,https://twitter.com/yourfckingmouth/status/1757536362390310951,{},senang
54,54,54,54,Tue Feb 13 22:43:48 +0000 2024,1757536076737257840,hari milu hujan moga maksud tanda ganjil bakal jadi presiden,0,0,0,0,in,1408641828241301504,1757536076737257840,rizuryuuchan,https://twitter.com/rizuryuuchan/status/1757536076737257840,{},marah
55,55,55,55,Tue Feb 13 22:41:18 +0000 2024,1757535445536436305,datang ketika hari milu mungkin sah atur gubernur jakarta pilih langsung presiden momen pilih kaesang jadi monentum,0,0,0,1,in,721925529234833408,1757437507959246930,kinaru_,https://twitter.com/kinaru_/status/1757535445536436305,{},netral
56,56,56,56,Tue Feb 13 22:39:09 +0000 2024,1757534903884025916,hari milu laksana sila coblos presiden pimpin negara indonesia lebih baik bendera indonesia wajah tersenyum lebar bermata hati tangan diangkat dan dirapatkan bersama jangan lupa coblos coblos enggak sah wajah gembira dengan mata bahagia milu nyoblos kalau enggak nyoblos nama teumilu wajah gembira berurai air mata,0,0,0,0,in,1748346390332489728,1757534903884025916,omihsunari,https://twitter.com/omihsunari/status/1757534903884025916,{},marah
57,57,57,57,Tue Feb 13 22:38:30 +0000 2024,1757534742688546915,wajah tersenyum lebar dan berkeringat wajah tersenyum lebar dan berkeringat logika mana kamu maksudkanmembiarkan presiden cawe cawe anak ikut pemilumembiarkan presiden -ak tatanan hukum anak jadi wapreselu buta,0,1,0,0,in,1629050677795368960,1757531123000004695,SeriDianawati,https://twitter.com/SeriDianawati/status/1757534742688546915,{},senang
58,58,58,58,Tue Feb 13 22:37:23 +0000 2024,1757534460156035078,milu milu presiden tiga rasa milu kali paling genting genting narasi buzzer pecah rukun sekarang lawan rezim guna segala cara te- kuasa aku lawan,0,0,0,0,in,144086531,1757534460156035078,joehelmiy,https://twitter.com/joehelmiy/status/1757534460156035078,{},marah
59,59,59,59,Tue Feb 13 22:37:01 +0000 2024,1757534366505607401,cara nyoblos milu warna abu buat presiden wapres warna merah buat dpd warna kuning buat dpr ri warna biru buat dprd provinsi warna hijau buat dprd kabupatenkota siap kamu,3,1,11,32,in,1630705134912311296,1757534366505607401,micirru,https://twitter.com/micirru/status/1757534366505607401,{},marah
60,60,60,60,Tue Feb 13 22:35:42 +0000 2024,1757534037076562401,ku milu kali bukan pilih presiden baik pilih presiden lebih buruk ke- paslon sebut wkwkwkw,0,2,0,2,in,162307938,1757534037076562401,atma_kpm,https://twitter.com/atma_kpm/status/1757534037076562401,{},netral
62,62,62,62,Tue Feb 13 22:28:53 +0000 2024,1757532320033276369,dirty vote buat banyak orang pikir milu kali curang demikian rupa iya memang sangat sistematis struktur kuasa mulai presiden - tentara bibit otoritarian tanya dasar memang sejak kapan milu kotor curang,3,4,50,148,in,1177421004659777536,1757532320033276369,Antitesis101,https://twitter.com/Antitesis101/status/1757532320033276369,{},senang
63,63,63,63,Tue Feb 13 22:28:05 +0000 2024,1757532121558851859,milu indonesia pilih presiden baru ganti jokowi,0,0,0,0,in,88883455,1757532121558851859,infoTeknologi,https://twitter.com/infoTeknologi/status/1757532121558851859,{},senang
64,64,64,64,Tue Feb 13 22:26:59 +0000 2024,1757531842448965794,bodoamat milu mau nya cak imin jadi presiden wkakakkakakak cak imin wajah dengan mata berbentuk bintang wajah dengan mata berbentuk bintang wajah dengan mata berbentuk bintang tangan menjepit warna kulit cerah tangan menjepit warna kulit cerah tangan menjepit warna kulit cerah,0,0,0,0,in,1744313202291453952,1757531842448965794,dostoeve,https://twitter.com/dostoeve/status/1757531842448965794,{},marah
65,65,65,65,Tue Feb 13 22:22:03 +0000 2024,1757530602872668414,milu gelar bukan pilih presiden wakil presiden anggota dpr ri dpd ri dprd provinsi dprd kabupatenkota,0,0,0,1,in,23343960,1757530602872668414,kompascom,https://twitter.com/kompascom/status/1757530602872668414,{},netral
66,66,66,66,Tue Feb 13 22:04:19 +0000 2024,1757526140246540384,iya guis aku jadi ke- nyoblos presiden wajah menangis keras wajah menangis keras soal milu pas coblos umur genep th wakaka,0,0,0,0,in,1339546657,1757526132864455104,biaskuganteng2,https://twitter.com/biaskuganteng2/status/1757526140246540384,{},senang
67,67,67,67,Tue Feb 13 21:57:54 +0000 2024,1757524525510766630,allah moga milu jalan lancar ada curang minta presiden menang paslon baik hasil jujur amin,0,0,0,1,in,1745206795285745664,1757524525510766630,Zavanza7,https://twitter.com/Zavanza7/status/1757524525510766630,{},netral
68,68,68,68,Tue Feb 13 21:55:46 +0000 2024,1757523986542702866,ampun siapa presiden pilih banget kerja benar jari telunjuk menunjuk penonton warna kulit cerah wajah sangat marah milu gue mudik mesti bangun pagi bgt tambah ngerjain kerja anying,0,0,0,0,in,1583593987,1757523986542702866,swannhere,https://twitter.com/swannhere/status/1757523986542702866,{},senang
69,69,69,69,Tue Feb 13 21:54:18 +0000 2024,1757523616701595828,hari padahal milu moga apa prabowo mas gibran jadi presiden amin,0,0,0,0,in,1456207056122224642,1757523616701595828,melirositasari,https://twitter.com/melirositasari/status/1757523616701595828,{},senang
71,71,71,71,Tue Feb 13 21:47:15 +0000 2024,1757521843412709384,non plv related pagi plli indo since hari milu please please please guna hak suara kalian buat pilih presiden amp legislatif tahun depan bakal kertas surat suara buat pilih presiden wapres dpr ri dpd dprd provinsi dprd kota,1,1,13,37,in,1587131603612241920,1757521843412709384,peuldoongnuna,https://twitter.com/peuldoongnuna/status/1757521843412709384,{},marah
72,72,72,72,Tue Feb 13 21:46:57 +0000 2024,1757521770763173964,jelang milu gelar hari rabu februari pasang anies-gus imin amin optimis menang milu presiden wakil presiden,0,0,0,0,in,933155145499557889,1757521770763173964,ibnu_budiaji,https://twitter.com/ibnu_budiaji/status/1757521770763173964,{},senang
73,73,73,73,Tue Feb 13 21:43:53 +0000 2024,1757520994984743049,juang amin tinggal selang lg jelang milu besok rabu mll doa pr kiaimasyayikhamp slrh rakyat paslon optimis mjd presiden amp wapres bukti nyata kampanye trkhr jis juta lebih tiket habis dpesan hai waktu mnt,0,0,0,0,in,1524763771511926785,1757356659750621501,maligana_isa,https://twitter.com/maligana_isa/status/1757520994984743049,{},senang
74,74,74,74,Tue Feb 13 21:39:06 +0000 2024,1757519792083529933,laksana umrahdi negeri anak buah bikin heboh bikin film laku masa tenangpemilu laku ash katai curang presiden wakil pilih katai curang aku pintar dungu aku negarawan padahal munafik,0,0,0,0,in,1604124785520553984,1757519792083529933,Fauzan2Khmad,https://twitter.com/Fauzan2Khmad/status/1757519792083529933,{},netral
75,75,75,75,Tue Feb 13 21:30:43 +0000 2024,1757517683212648838,selamat tanggal hbd carat selamat pilih presiden moga jadi milu akhir melipat tangan melipat tangan melipat tangan melipat tangan,0,0,0,0,in,1428327917969309700,1757517683212648838,amlifyoung,https://twitter.com/amlifyoung/status/1757517683212648838,{},senang
76,76,76,76,Tue Feb 13 21:29:53 +0000 2024,1757517472838881685,kasatpol pp damping pj bupati sama forkopimda rangka monitoring jumlah tps jelang kesiap laksana milu legislatif milu presiden wakil presiden tahun,0,0,0,0,in,2198566224,1757517472838881685,satpolppkng,https://twitter.com/satpolppkng/status/1757517472838881685,{},senang
77,77,77,77,Tue Feb 13 21:29:46 +0000 2024,1757517444397363319,siapa jadi presiden asal bukan tenah hari pertama laku bersih perintah utama afiliasi -ak demokrasi negeri titip negeri paslon awal akhir moga milu tahun sesuai harap,0,0,0,0,in,182001761,1757517444397363319,iceeerennn,https://twitter.com/iceeerennn/status/1757517444397363319,{},marah
78,78,78,78,Tue Feb 13 21:28:51 +0000 2024,1757517215501599165,sebut cantum putus presiden ri nomor tahun hari mungut suara pilih umum tahun hari libur nasional ayo sukses milu,0,0,0,0,in,313710815,1757517100170748121,kabarsleman,https://twitter.com/kabarsleman/status/1757517215501599165,{},senang
79,79,79,79,Tue Feb 13 21:26:47 +0000 2024,1757516694497747183,pamwal pj bupati sama forkopimda kasat pol pp ketua bawaslu rangka monitoring jumlah tps jelang kesiap laksana milu legislatif milu presiden wakil presiden tahun,0,0,0,0,in,2198566224,1757516694497747183,satpolppkng,https://twitter.com/satpolppkng/status/1757516694497747183,{},netral
80,80,80,80,Tue Feb 13 21:24:45 +0000 2024,1757516181261762936,jelang milu gelar besok rabu februari pasang anies-gus imin amin optimis menang pilih presiden wakil presiden moga sesuai harap amp jadi menang,0,0,1,2,in,4779689068,1757516181261762936,romlielbahrie,https://twitter.com/romlielbahrie/status/1757516181261762936,{},senang
81,81,81,81,Tue Feb 13 21:18:30 +0000 2024,1757514609161064769,jakarta kira-kira juta rakyat indonesia layak undi pilih raya presiden ada serentak pilih umum milu hari,0,0,0,0,in,552531227,1757514609161064769,IlliFadli,https://twitter.com/IlliFadli/status/1757514609161064769,{},netral
82,82,82,82,Tue Feb 13 21:17:55 +0000 2024,1757514460300984726,tahu siapa menang milu serta milu nanti jelas serta milu letnan jenderal prabowo subianto sang patriot sejati kenal serah coba jadi presiden gigih ala jiwa korsa nya,0,0,0,0,in,340287924,1756957232863105513,punotdead,https://twitter.com/punotdead/status/1757514460300984726,{},netral
83,83,83,83,Tue Feb 13 21:17:38 +0000 2024,1757514390302245313,nah banyak masyarakat bingung pilih siapa diskusi tutup diskusi presiden makanya banyak caleg tempat gue tb tb malam milu asih duit harap pilih kepala keluarga,0,1,0,0,in,871576071761649664,1757514387357847725,abdumahar10,https://twitter.com/abdumahar10/status/1757514390302245313,{},senang
84,84,84,84,Tue Feb 13 21:15:22 +0000 2024,1757513820975858029,gila baru jadi paslon baru mau milu jadi pasang presiden wakil presiden bikin rakyat rasa enggak safe wajah tersenyum dengan air mata,0,0,0,1,in,1276744544,1757513820975858029,idenyaacosmos,https://twitter.com/idenyaacosmos/status/1757513820975858029,{},netral
87,87,87,87,Tue Feb 13 21:08:40 +0000 2024,1757512133934567818,siapa presiden nya tetap nkri,0,0,0,1,in,1706157524268027904,1757512133934567818,rokie_supe82155,https://twitter.com/rokie_supe82155/status/1757512133934567818,{},senang
88,88,88,88,Tue Feb 13 21:01:16 +0000 2024,1757510274138120508,biasa gue kalo ikut survival show kpopcpop pick gue gue vote selalu debut sih moga pas milu pick gue debut jadi presiden,0,0,0,0,in,1379454897951678465,1757510274138120508,itoshysae,https://twitter.com/itoshysae/status/1757510274138120508,{},marah
